"","LMA_g_m2.12.comps"
"Wave_1212",4.38229545529532
"Wave_1213",4.54646193133758
"Wave_1214",4.71062821970312
"Wave_1215",4.70259424335273
"Wave_1216",4.60184099201881
"Wave_1217",4.50108779482801
"Wave_1218",4.40033394283417
"Wave_1219",4.48982430916742
"Wave_1220",4.61310520427056
"Wave_1221",4.73638666098804
"Wave_1222",4.85965937788036
"Wave_1223",5.00865202503613
"Wave_1224",5.1576457639317
"Wave_1225",5.30663908357515
"Wave_1226",5.44747499718604
"Wave_1227",5.46196821084306
"Wave_1228",5.47646129278074
"Wave_1229",5.49095354394823
"Wave_1230",5.5292772693061
"Wave_1231",5.57834856640983
"Wave_1232",5.6274197215449
"Wave_1233",5.67649114511204
"Wave_1234",5.75251660454708
"Wave_1235",5.83743094138637
"Wave_1236",5.92234399208191
"Wave_1237",6.01116447608803
"Wave_1238",6.14813135267756
"Wave_1239",6.28509827498516
"Wave_1240",6.42206482077796
"Wave_1241",6.5451424008225
"Wave_1242",6.60763454034793
"Wave_1243",6.67012710375163
"Wave_1244",6.73261964332949
"Wave_1245",6.67167557344746
"Wave_1246",6.48124714941311
"Wave_1247",6.29081780428177
"Wave_1248",6.1003889316797
"Wave_1249",6.1803485006914
"Wave_1250",6.32241961582954
"Wave_1251",6.46449130241774
"Wave_1252",6.61702930989932
"Wave_1253",6.59772371867296
"Wave_1254",6.57841856826979
"Wave_1255",6.55911380865157
"Wave_1256",6.52558149282672
"Wave_1257",6.45885422795969
"Wave_1258",6.39212699146178
"Wave_1259",6.32539944505424
"Wave_1260",6.2097553200953
"Wave_1261",6.01213066767697
"Wave_1262",5.81450828146983
"Wave_1263",5.6168841884479
"Wave_1264",5.56696946552644
"Wave_1265",5.55398274630369
"Wave_1266",5.54099587330571
"Wave_1267",5.55037958473402
"Wave_1268",5.50103126708728
"Wave_1269",5.4516821851764
"Wave_1270",5.40233468480362
"Wave_1271",5.41600694468048
"Wave_1272",5.64421099445885
"Wave_1273",5.872415189512
"Wave_1274",6.10061867868122
"Wave_1275",6.43217415633923
"Wave_1276",6.73615018268244
"Wave_1277",7.04012759147566
"Wave_1278",7.34410366027774
"Wave_1279",7.56237277478845
"Wave_1280",7.73952365237315
"Wave_1281",7.91667346138835
"Wave_1282",8.09382349360204
"Wave_1283",8.13490199060404
"Wave_1284",8.17597981890301
"Wave_1285",8.21705820410499
"Wave_1286",8.35318980967602
"Wave_1287",8.66387944753226
"Wave_1288",8.9745698513468
"Wave_1289",9.28525862359033
"Wave_1290",9.5194294565533
"Wave_1291",9.6770814094051
"Wave_1292",9.83473292497779
"Wave_1293",9.99238503857746
"Wave_1294",10.0622047574871
"Wave_1295",10.1100664659034
"Wave_1296",10.1579281409639
"Wave_1297",10.2057898279208
"Wave_1298",10.3024525897398
"Wave_1299",10.3991158785886
"Wave_1300",10.4957784591808
"Wave_1301",10.6590107830104
"Wave_1302",10.9775733808176
"Wave_1303",11.2961344869761
"Wave_1304",11.614695757276
"Wave_1305",11.9441029836038
"Wave_1306",12.2454097115504
"Wave_1307",12.5467158473172
"Wave_1308",12.8480220894692
"Wave_1309",13.3975957317412
"Wave_1310",14.0092359519393
"Wave_1311",14.6208760012116
"Wave_1312",15.2027037863061
"Wave_1313",15.3279371505635
"Wave_1314",15.4531703523074
"Wave_1315",15.5784040518819
"Wave_1316",15.7894177752499
"Wave_1317",16.2005859694814
"Wave_1318",16.6117535956217
"Wave_1319",17.0229213323034
"Wave_1320",17.3500231103877
"Wave_1321",17.6210816147886
"Wave_1322",17.8921406918024
"Wave_1323",18.1631986984831
"Wave_1324",18.4444137671288
"Wave_1325",18.7281679863661
"Wave_1326",19.0119217600714
"Wave_1327",19.2903482756361
"Wave_1328",19.5208304668191
"Wave_1329",19.7513137754729
"Wave_1330",19.9817966953737
"Wave_1331",20.1459564611897
"Wave_1332",20.1955765264375
"Wave_1333",20.2451974663448
