"","protein_mg_m2.12.comps"
"Wave_1070",-0.163456773921088
"Wave_1071",-0.201107455634875
"Wave_1072",-0.230431039015397
"Wave_1073",-0.259754453162299
"Wave_1074",-0.280944636889662
"Wave_1075",-0.228394590303701
"Wave_1076",-0.134636252460728
"Wave_1077",-0.0408780862784125
"Wave_1078",0.0340167959115404
"Wave_1079",-0.0192996978767481
"Wave_1080",-0.115437276496024
"Wave_1081",-0.211575197042846
"Wave_1082",-0.311021266469358
"Wave_1083",-0.250575381799302
"Wave_1084",-0.172118644141093
"Wave_1085",-0.0936618747691334
"Wave_1086",-0.0307418811341468
"Wave_1087",0.0673398333880171
"Wave_1088",0.16542196054987
"Wave_1089",0.26350380687842
"Wave_1090",0.346617299394256
"Wave_1091",0.365261295271541
"Wave_1092",0.383906213848137
"Wave_1093",0.409511448266816
"Wave_1094",0.498269950137274
"Wave_1095",0.610567923662301
"Wave_1096",0.722866023918324
"Wave_1097",0.803028944128234
"Wave_1098",0.822136290981177
"Wave_1099",0.844725059943338
"Wave_1100",0.86731367607761
"Wave_1101",0.899003551727033
"Wave_1102",0.960307477940502
"Wave_1103",1.02161105310958
"Wave_1104",1.08291509424134
"Wave_1105",1.08978297276004
"Wave_1106",0.997917804004488
"Wave_1107",0.906052974792427
"Wave_1108",0.81418788527048
"Wave_1109",0.812798568687934
"Wave_1110",0.915269113531074
"Wave_1111",1.01773927873075
"Wave_1112",1.12208908864474
"Wave_1113",1.23058474796747
"Wave_1114",1.33056777092125
"Wave_1115",1.43055112471695
"Wave_1116",1.50430156939288
"Wave_1117",1.41076226004649
"Wave_1118",1.29070192502026
"Wave_1119",1.17064192433335
"Wave_1120",1.07140715149588
"Wave_1121",1.14623355921789
"Wave_1122",1.22106045866804
"Wave_1123",1.29588703685057
"Wave_1124",1.2561720653498
"Wave_1125",1.25694017918902
"Wave_1126",1.25770842950689
"Wave_1127",1.25847676399695
"Wave_1128",1.1767391097992
"Wave_1129",1.07575281024072
"Wave_1130",0.974766638369079
"Wave_1131",0.84834718543517
"Wave_1132",0.65727854892066
"Wave_1133",0.536601515177646
"Wave_1134",0.415924247079883
"Wave_1135",0.234514880335942
"Wave_1136",-0.0312825217130483
"Wave_1137",-0.290711063252945
"Wave_1138",-0.550139934412312
"Wave_1139",-0.863909553620985
"Wave_1140",-1.01226662674674
"Wave_1141",-1.16062353344805
"Wave_1142",-1.3089801840101
"Wave_1143",-1.39673755886406
"Wave_1144",-1.40105615501213
"Wave_1145",-1.40537494141295
"Wave_1146",-1.40969381747622
"Wave_1147",-1.31813863786934
"Wave_1148",-1.2553825130631
"Wave_1149",-1.19262650783457
"Wave_1150",-1.11014463974492
"Wave_1151",-0.820753796584423
"Wave_1152",-0.524018306472985
"Wave_1153",-0.227282778463829
"Wave_1154",0.146876985780833
"Wave_1155",0.0414127236922905
"Wave_1156",-0.0640516151001475
"Wave_1157",-0.169515752788652
"Wave_1158",-0.217773012635986
"Wave_1159",-0.264627999035129
"Wave_1160",-0.311483149821153
"Wave_1161",-0.358338145516516
"Wave_1162",-0.371617716107278
"Wave_1163",-0.38172712400732
"Wave_1164",-0.391836725304066
"Wave_1165",-0.40194626803939
"Wave_1166",-0.411984143213166
"Wave_1167",-0.447808834482033
"Wave_1168",-0.483633526659496
"Wave_1169",-0.516629090010663
"Wave_1170",-0.575696605689603
"Wave_1171",-0.638918541812165
"Wave_1172",-0.702140557022705
"Wave_1173",-0.769497679107476
"Wave_1174",-0.907607498015672
"Wave_1175",-1.04571748270691
"Wave_1176",-1.1838274787938
"Wave_1177",-1.28582561253364
"Wave_1178",-1.32429557771983
"Wave_1179",-1.36276575366811
"Wave_1180",-1.40123571489786
"Wave_1181",-1.40132861085619
"Wave_1182",-1.38573743365183
"Wave_1183",-1.37014578384931
"Wave_1184",-1.35455420717242
"Wave_1185",-1.19153940852911
"Wave_1186",-0.99629918381299
"Wave_1187",-0.801059134270161
"Wave_1188",-0.602899036740752
"Wave_1189",-0.340036501188786
"Wave_1190",-0.0771740146399635
"Wave_1191",0.185688444829464
"Wave_1192",0.396679283244
"Wave_1193",0.348564006300521
"Wave_1194",0.300448771782781
"Wave_1195",0.252333485528481
"Wave_1196",0.205483743495826
"Wave_1197",0.166799109264471
"Wave_1198",0.128114074379606
"Wave_1199",0.0894293087075867
"Wave_1200",0.0693744754953928
"Wave_1201",0.0478902273855532
"Wave_1202",0.026405992719987
"Wave_1203",0.0091149873064981
"Wave_1204",0.0974677857426245
"Wave_1205",0.193365822413642
"Wave_1206",0.289263759467997
"Wave_1207",0.386003856467271
"Wave_1208",0.448543146911912
"Wave_1209",0.511081988287705
"Wave_1210",0.573621196927316
"Wave_1211",0.598914004204377
"Wave_1212",0.598074598346568
"Wave_1213",0.597234808230205
"Wave_1214",0.596395293624309
"Wave_1215",0.579884560464944
"Wave_1216",0.557889826035525
"Wave_1217",0.535895121303567
"Wave_1218",0.513900249214038
"Wave_1219",0.548782940109626
"Wave_1220",0.581243289734738
"Wave_1221",0.613703773500786
"Wave_1222",0.641475742962825
"Wave_1223",0.679967313811995
"Wave_1224",0.718458887766802
"Wave_1225",0.756950306107346
"Wave_1226",0.784244284633388
"Wave_1227",0.765449447223929
"Wave_1228",0.746655020950892
"Wave_1229",0.727860041414136
"Wave_1230",0.711245818327778
"Wave_1231",0.706015054861767
"Wave_1232",0.700784315562847
"Wave_1233",0.695553851788485
"Wave_1234",0.790596415979103
"Wave_1235",0.906184745599808
"Wave_1236",1.02177269161976
"Wave_1237",1.12183025164548
"Wave_1238",1.12202572537262
"Wave_1239",1.12222110764133
"Wave_1240",1.12241688288141
"Wave_1241",1.12334585086112
"Wave_1242",1.12185031413166
"Wave_1243",1.12035496541292
"Wave_1244",1.11885949825524
"Wave_1245",1.09625080000129
"Wave_1246",1.06041577713728
"Wave_1247",1.02458101744374
"Wave_1248",0.988746199071712
"Wave_1249",1.01327075535976
"Wave_1250",1.04753354953033
"Wave_1251",1.08179650041519
"Wave_1252",1.1057517791781
"Wave_1253",1.07993458808412
"Wave_1254",1.05411728728455
"Wave_1255",1.0283002832209
"Wave_1256",1.00439025567357
"Wave_1257",0.984931433721715
"Wave_1258",0.965472469015579
"Wave_1259",0.946013446133972
"Wave_1260",0.897220871850391
"Wave_1261",0.826750690819263
"Wave_1262",0.756280969110592
"Wave_1263",0.685810908077865
"Wave_1264",0.718940446074285
"Wave_1265",0.777970196936878
"Wave_1266",0.837000030590745
"Wave_1267",0.891714789215639
"Wave_1268",0.936358732150978
"Wave_1269",0.98100254020174
"Wave_1270",1.02564660657588
"Wave_1271",1.07952414462135
"Wave_1272",1.16081816797722
"Wave_1273",1.24211219775379
"Wave_1274",1.32340621247383
"Wave_1275",1.33823095915524
"Wave_1276",1.31441020246621
"Wave_1277",1.2905894963295
"Wave_1278",1.26676883098503
"Wave_1279",1.28523020294064
"Wave_1280",1.31833493083194
"Wave_1281",1.35143963008398
"Wave_1282",1.38454423637036
"Wave_1283",1.2726699090318
"Wave_1284",1.16079536083504
"Wave_1285",1.04892085804769
"Wave_1286",0.942855654711017
"Wave_1287",0.900576593909835
"Wave_1288",0.858297586558865
"Wave_1289",0.816018495079553
"Wave_1290",0.789326415144042
"Wave_1291",0.778221537304772
"Wave_1292",0.767116463597215
"Wave_1293",0.756011293379955
"Wave_1294",0.733834504704538
"Wave_1295",0.708889407057105
"Wave_1296",0.68394449292076
"Wave_1297",0.65899962467288
"Wave_1298",0.628857659581509
"Wave_1299",0.598716028044286
"Wave_1300",0.568574393797165
"Wave_1301",0.553374027971726
"Wave_1302",0.573037227542492
"Wave_1303",0.592700996591607
"Wave_1304",0.612364502213798
"Wave_1305",0.57716301926675
"Wave_1306",0.499994926028632
"Wave_1307",0.422826785647731
"Wave_1308",0.345658457904867
"Wave_1309",0.370651702533477
"Wave_1310",0.421185274076205
"Wave_1311",0.471719012837034
"Wave_1312",0.516482245837567
"Wave_1313",0.377563810675942
"Wave_1314",0.238645299411806
"Wave_1315",0.0997269237493732
"Wave_1316",-0.0293577053401653
"Wave_1317",-0.135496788401632
"Wave_1318",-0.241636001584504
"Wave_1319",-0.347775176243768
"Wave_1320",-0.403386192435957
"Wave_1321",-0.425311920501707
