"","glucose_umol_m2.8.comps"
"Wave_1290",0.165046155894869
"Wave_1291",0.168181137038745
"Wave_1292",0.171316125130931
"Wave_1293",0.174451118419126
"Wave_1294",0.176779244481285
"Wave_1295",0.178905658843613
"Wave_1296",0.181032092213002
"Wave_1297",0.183158510507727
"Wave_1298",0.189552393503941
"Wave_1299",0.195946282478043
"Wave_1300",0.202340175075256
"Wave_1301",0.208559611216867
"Wave_1302",0.214372087344677
"Wave_1303",0.220184536243389
"Wave_1304",0.225996999458536
"Wave_1305",0.231509320312932
"Wave_1306",0.235876818601919
"Wave_1307",0.240244300213323
"Wave_1308",0.244611774812817
"Wave_1309",0.2536212271937
"Wave_1310",0.263791144434988
"Wave_1311",0.273961074980092
"Wave_1312",0.283836367832353
"Wave_1313",0.289229463865617
"Wave_1314",0.294622576254649
"Wave_1315",0.300015683554989
"Wave_1316",0.306180723149293
"Wave_1317",0.314146909105279
"Wave_1318",0.322113119674757
"Wave_1319",0.330079308762211
"Wave_1320",0.334266879579735
"Wave_1321",0.33593534781791
"Wave_1322",0.3376038321883
"Wave_1323",0.339272301927889
"Wave_1324",0.336681985650739
"Wave_1325",0.333026977411584
"Wave_1326",0.329371937829845
"Wave_1327",0.325392878018685
"Wave_1328",0.318497576397179
"Wave_1329",0.311602246428632
"Wave_1330",0.304706920173421
"Wave_1331",0.298398920006887
"Wave_1332",0.293720457727435
"Wave_1333",0.289041986706434
"Wave_1334",0.284363503198256
"Wave_1335",0.279866133992224
"Wave_1336",0.275489461699709
"Wave_1337",0.271112777557615
"Wave_1338",0.266736120350598
"Wave_1339",0.261567124279706
"Wave_1340",0.256310086616495
"Wave_1341",0.251053081025909
"Wave_1342",0.24587869561814
"Wave_1343",0.241034968397811
"Wave_1344",0.236191224837039
"Wave_1345",0.231347498500539
"Wave_1346",0.223479527742507
"Wave_1347",0.211075230427088
"Wave_1348",0.198670913799668
"Wave_1349",0.186266593715983
"Wave_1350",0.175815222829426
"Wave_1351",0.166200805275358
"Wave_1352",0.156586426471011
"Wave_1353",0.14697202098586
"Wave_1354",0.13998998439131
"Wave_1355",0.133007953625639
"Wave_1356",0.126025909642343
"Wave_1357",0.120316181740261
"Wave_1358",0.11969568803305
"Wave_1359",0.119075201859008
"Wave_1360",0.118454706628436
"Wave_1361",0.122564854694894
"Wave_1362",0.131405640216672
"Wave_1363",0.140246434297392
"Wave_1364",0.149087206843325
"Wave_1365",0.166718814265599
"Wave_1366",0.186548110024572
"Wave_1367",0.206377405978829
"Wave_1368",0.227367616868039
"Wave_1369",0.258805835562643
"Wave_1370",0.290244063181802
"Wave_1371",0.321682297317388
"Wave_1372",0.352269653501882
