"","all_carb_m2.12.comps"
"Wave_1314",17.3616237358562
"Wave_1315",17.9195350523073
"Wave_1316",18.5114477885956
"Wave_1317",19.1826919528006
"Wave_1318",19.8539355612018
"Wave_1319",20.5251800353787
"Wave_1320",20.590286415839
"Wave_1321",20.2512989425935
"Wave_1322",19.9123121576758
"Wave_1323",19.5733224196678
"Wave_1324",19.4345520511527
"Wave_1325",19.3458344893777
"Wave_1326",19.2571129296542
"Wave_1327",19.1107633379624
"Wave_1328",18.4457421171714
"Wave_1329",17.7807196709381
"Wave_1330",17.1156955365389
"Wave_1331",16.5972756750545
"Wave_1332",16.4403551220681
"Wave_1333",16.2834334661074
"Wave_1334",16.126511293902
"Wave_1335",15.5604841767495
"Wave_1336",14.7217180278121
"Wave_1337",13.8829511966043
"Wave_1338",13.0441853467713
"Wave_1339",12.4282042156672
"Wave_1340",11.8369756172376
"Wave_1341",11.2457499333625
"Wave_1342",10.7333802754565
"Wave_1343",10.536444805989
"Wave_1344",10.3395064951158
"Wave_1345",10.1425699917892
"Wave_1346",9.65664086134785
"Wave_1347",8.73722439309838
"Wave_1348",7.81780623931455
"Wave_1349",6.89838914609826
"Wave_1350",5.69273660182156
"Wave_1351",4.36441181434954
"Wave_1352",3.03608772066245
"Wave_1353",1.70776357767687
"Wave_1354",0.501814297783568
"Wave_1355",-0.704132582343781
"Wave_1356",-1.91008164137129
"Wave_1357",-3.04901158511478
"Wave_1358",-3.9198751043324
"Wave_1359",-4.79073642965135
"Wave_1360",-5.6615965178165
"Wave_1361",-6.48641967978904
"Wave_1362",-7.26520605336815
"Wave_1363",-8.04398999998075
"Wave_1364",-8.82277637270436
"Wave_1365",-8.6571797267349
"Wave_1366",-8.25548780908014
"Wave_1367",-7.85379600996808
"Wave_1368",-7.38133336621661
"Wave_1369",-6.27194339601126
"Wave_1370",-5.16255466070788
"Wave_1371",-4.0531650586664
"Wave_1372",-2.97114302291672
"Wave_1373",-1.95297220987217
"Wave_1374",-0.934803215654274
"Wave_1375",0.0833666985256469
"Wave_1376",1.36830363546
