"","H20_g_m2.11.comps"
"Wave_1026",-6.12533795062585
"Wave_1027",-6.68110045598578
"Wave_1028",-7.22196620286761
"Wave_1029",-7.62086027692427
"Wave_1030",-7.94878459976501
"Wave_1031",-8.27671046697799
"Wave_1032",-8.59427708461114
"Wave_1033",-8.62066916268569
"Wave_1034",-8.06434667728309
"Wave_1035",-7.50802542948227
"Wave_1036",-7.27084325307993
"Wave_1037",-6.92918204688789
"Wave_1038",-6.00432888878496
"Wave_1039",-5.07947430318484
"Wave_1040",-3.51598929838521
"Wave_1041",-2.28646844566203
"Wave_1042",-1.38254052926865
"Wave_1043",-0.478612979311364
"Wave_1044",0.24799783819739
"Wave_1045",0.625598649033147
"Wave_1046",0.969346116311164
"Wave_1047",1.31309628851611
"Wave_1048",1.70764837139523
"Wave_1049",1.58071198886608
"Wave_1050",1.45377499504922
"Wave_1051",1.33919328895523
"Wave_1052",1.4082829871996
"Wave_1053",1.64648769347507
"Wave_1054",1.88469589364066
"Wave_1055",2.10670394476802
"Wave_1056",2.54651557776206
"Wave_1057",3.24192352079518
"Wave_1058",3.93733407130069
"Wave_1059",4.83680851326918
"Wave_1060",5.64580694441551
"Wave_1061",6.32858044332093
"Wave_1062",7.01134975484026
"Wave_1063",7.49491430997166
"Wave_1064",7.71709114156395
"Wave_1065",7.91971077238238
"Wave_1066",8.12233134767261
"Wave_1067",8.33566657889228
"Wave_1068",8.56792102833524
"Wave_1069",8.80017590487174
"Wave_1070",9.03243174759943
"Wave_1071",9.49154520537094
"Wave_1072",10.0165198567433
"Wave_1073",10.5414946932619
"Wave_1074",11.2005195213709
"Wave_1075",11.668952956182
"Wave_1076",11.410593813013
"Wave_1077",11.1522355855254
"Wave_1078",10.3822447273545
"Wave_1079",9.90151852861835
"Wave_1080",9.87366921096768
"Wave_1081",9.84582016102071
"Wave_1082",10.1946868867192
"Wave_1083",10.4393992169454
"Wave_1084",10.644630524118
"Wave_1085",10.8498646912621
"Wave_1086",11.2506223748808
"Wave_1087",10.8783035120047
"Wave_1088",10.5059893881971
"Wave_1089",10.1336731483017
"Wave_1090",9.90809842599956
"Wave_1091",11.3995845238048
"Wave_1092",12.8910737058927
"Wave_1093",14.4823339265153
"Wave_1094",15.262186694766
"Wave_1095",15.2350351104151
"Wave_1096",15.2078838233028
"Wave_1097",15.2405969034299
"Wave_1098",15.7509105881724
"Wave_1099",16.3457059189434
"Wave_1100",16.9404994908087
"Wave_1101",17.7902703077199
"Wave_1102",18.5972167106138
"Wave_1103",19.4041655189956
"Wave_1104",20.2111126694937
"Wave_1105",20.5468215867155
"Wave_1106",20.301565815407
"Wave_1107",20.0563105900611
"Wave_1108",19.8110573883863
"Wave_1109",20.1222054939076
"Wave_1110",20.543563940416
"Wave_1111",20.9649266228959
"Wave_1112",21.4111558025673
"Wave_1113",21.3607485459015
"Wave_1114",20.8300358843264
"Wave_1115",20.2993248566522
"Wave_1116",19.6259914641768
"Wave_1117",19.7858035526509
"Wave_1118",20.2370973992336
"Wave_1119",20.6883921514669
"Wave_1120",21.4114776371928
"Wave_1121",21.8265934624773
"Wave_1122",22.2417124610446
"Wave_1123",22.6568293277579
"Wave_1124",23.452964588351
"Wave_1125",23.791293071072
"Wave_1126",24.129623374102
"Wave_1127",24.4679529506219
"Wave_1128",24.6910001828272
"Wave_1129",24.2082876402814
"Wave_1130",23.7255752450697
"Wave_1131",23.3517679861145
"Wave_1132",22.6932581891856
"Wave_1133",21.4926776987942
"Wave_1134",20.2920919306892
"Wave_1135",19.4290580812336
"Wave_1136",18.9060880939946
"Wave_1137",18.3333882737139
"Wave_1138",17.7606892812113
"Wave_1139",17.6087250990979
"Wave_1140",16.4829990175208
"Wave_1141",15.3572750381753
"Wave_1142",14.2315502113622
"Wave_1143",12.7999613877514
"Wave_1144",12.6345778392865
"Wave_1145",12.4691916184328
"Wave_1146",12.3038068716832
"Wave_1147",11.8915154755002
"Wave_1148",11.9304230034202
"Wave_1149",11.969332144808
"Wave_1150",11.9669228347172
"Wave_1151",11.6822429213021
"Wave_1152",11.4199606772948
"Wave_1153",11.1576783198495
"Wave_1154",9.9381979311209
"Wave_1155",10.1039924255166
"Wave_1156",10.269782597093
"Wave_1157",10.4355764895834
"Wave_1158",10.6712898499842
"Wave_1159",10.7479503457754
"Wave_1160",10.8246100644685
"Wave_1161",10.90127116368
"Wave_1162",11.0054677605064
