"","nitrate_umol_m2.10.comps"
"Wave_1121",0.271225708212021
"Wave_1122",0.289510751498156
"Wave_1123",0.30779592755903
"Wave_1124",0.329797010717884
"Wave_1125",0.392909171883084
"Wave_1126",0.456021339211266
"Wave_1127",0.51913351633307
"Wave_1128",0.567815950038813
"Wave_1129",0.635241721834592
"Wave_1130",0.702667538891178
"Wave_1131",0.765991095628849
"Wave_1132",0.80460058045129
"Wave_1133",0.848440653012303
"Wave_1134",0.89228086572749
"Wave_1135",0.929485586938379
"Wave_1136",0.91953657176204
"Wave_1137",0.906068434120345
"Wave_1138",0.892600378904133
"Wave_1139",0.858107025984279
"Wave_1140",0.812763582467392
"Wave_1141",0.767420226316711
"Wave_1142",0.722076791267766
"Wave_1143",0.670527289221309
"Wave_1144",0.54812434998864
"Wave_1145",0.42572122507039
"Wave_1146",0.303318190261282
"Wave_1147",0.169592125109019
"Wave_1148",0.0210947462934114
"Wave_1149",-0.127402628810342
"Wave_1150",-0.274896635740613
"Wave_1151",-0.379941019670314
"Wave_1152",-0.476630683115788
"Wave_1153",-0.573320237507014
"Wave_1154",-0.649885469729734
"Wave_1155",-0.868692336943829
"Wave_1156",-1.08749916316343
"Wave_1157",-1.30630582098988
"Wave_1158",-1.48072029242516
"Wave_1159",-1.54185846652157
"Wave_1160",-1.60299673619056
"Wave_1161",-1.66413502347471
"Wave_1162",-1.71660998661794
"Wave_1163",-1.74869172877526
"Wave_1164",-1.78077373022359
"Wave_1165",-1.81285565906337
"Wave_1166",-1.82942731582207
"Wave_1167",-1.84880900059177
"Wave_1168",-1.86819047361717
"Wave_1169",-1.88465459774508
"Wave_1170",-1.8442204227806
"Wave_1171",-1.79876068055414
"Wave_1172",-1.75330115073415
"Wave_1173",-1.71763849979607
"Wave_1174",-1.73902777151476
"Wave_1175",-1.76041696103576
"Wave_1176",-1.78180620163307
"Wave_1177",-1.78700474239523
"Wave_1178",-1.74319856157737
"Wave_1179",-1.69939221440843
"Wave_1180",-1.65558603595283
"Wave_1181",-1.62059510231215
"Wave_1182",-1.60026335125112
"Wave_1183",-1.57993123720439
"Wave_1184",-1.55959935377773
"Wave_1185",-1.53668952696242
"Wave_1186",-1.50893819935994
"Wave_1187",-1.4811868204058
"Wave_1188",-1.45116366324991
"Wave_1189",-1.37075457130393
"Wave_1190",-1.29034565788061
"Wave_1191",-1.20993663123827
"Wave_1192",-1.16294947952398
"Wave_1193",-1.23968004359408
"Wave_1194",-1.31641054468539
"Wave_1195",-1.39314107231422
"Wave_1196",-1.41184629423837
"Wave_1197",-1.37609698289285
"Wave_1198",-1.34034756870023
"Wave_1199",-1.30459816384719
"Wave_1200",-1.24900148064966
"Wave_1201",-1.18626203128477
"Wave_1202",-1.12352273571829
"Wave_1203",-1.0613022854389
"Wave_1204",-1.04539179952398
"Wave_1205",-1.03410758282591
"Wave_1206",-1.02282329283002
"Wave_1207",-1.0184077016047
"Wave_1208",-1.03827563035733
"Wave_1209",-1.05814340611642
"Wave_1210",-1.07801142012226
"Wave_1211",-1.07467219854771
"Wave_1212",-1.04108771876024
"Wave_1213",-1.00750340225756
"Wave_1214",-0.973918924724463
"Wave_1215",-0.970529681153481
"Wave_1216",-0.980882179054431
"Wave_1217",-0.991234854710302
"Wave_1218",-1.00158738879925
"Wave_1219",-0.992221234627757
"Wave_1220",-0.984264233455883
"Wave_1221",-0.976307236853098
"Wave_1222",-0.976735031870105
"Wave_1223",-1.01255438285891
"Wave_1224",-1.04837377144913
"Wave_1225",-1.08419320103081
"Wave_1226",-1.0915272593613
"Wave_1227",-1.06141417901368
"Wave_1228",-1.03130078863683
"Wave_1229",-1.00118756877844
"Wave_1230",-0.993035742950727
"Wave_1231",-0.997694642123254
"Wave_1232",-1.00235340414812
"Wave_1233",-1.00701221385481
"Wave_1234",-1.00413120411842
"Wave_1235",-0.996852280864513
"Wave_1236",-0.989573530856269
"Wave_1237",-0.979645598108183
"Wave_1238",-0.978899553239664
"Wave_1239",-0.978153677222715
"Wave_1240",-0.977407593302753
"Wave_1241",-0.972221501090583
"Wave_1242",-0.95181305896229
"Wave_1243",-0.931404617934679
"Wave_1244",-0.910996150867007
"Wave_1245",-0.903146127404453
"Wave_1246",-0.905219208619985
"Wave_1247",-0.907292199207558
"Wave_1248",-0.909365290433241
"Wave_1249",-0.91122744190975
"Wave_1250",-0.915319936714457
"Wave_1251",-0.919412403286802
"Wave_1252",-0.925481510703318
"Wave_1253",-0.928595043879672
"Wave_1254",-0.931708650157731
"Wave_1255",-0.934822155723883
"Wave_1256",-0.923006637282913
"Wave_1257",-0.876356432502633
"Wave_1258",-0.829706291320991
"Wave_1259",-0.783056185385274
"Wave_1260",-0.746169115964962
"Wave_1261",-0.715868105332028
"Wave_1262",-0.685567298469118
"Wave_1263",-0.655266467829787
"Wave_1264",-0.60519844553217
"Wave_1265",-0.550188529772466
"Wave_1266",-0.495178555008854
"Wave_1267",-0.441795802583016
"Wave_1268",-0.429259395755826
"Wave_1269",-0.416722860418797
"Wave_1270",-0.404186516387574
"Wave_1271",-0.395448022183331
"Wave_1272",-0.395602134465571
"Wave_1273",-0.395756216214392
"Wave_1274",-0.395910101986752
"Wave_1275",-0.407213226652353
"Wave_1276",-0.421961199706408
"Wave_1277",-0.436708832948754
"Wave_1278",-0.451456687153006
"Wave_1279",-0.440435668897085
"Wave_1280",-0.423995699446518
"Wave_1281",-0.407555647248082
"Wave_1282",-0.391115626344153
"Wave_1283",-0.417124326589626
"Wave_1284",-0.443132954984362
"Wave_1285",-0.469141663587932
"Wave_1286",-0.490306885293231
"Wave_1287",-0.486115532643426
"Wave_1288",-0.481924071787247
"Wave_1289",-0.477732607777019
"Wave_1290",-0.467472837011768
"Wave_1291",-0.451144492246614
